id,device_id,activity_id,created_at,updated_at,time_end
1,1,1,2019-08-13 14:57:54.576957,2019-08-13 14:57:54.576957,True
2,1,4,2019-08-13 15:35:56.288323,2019-08-13 15:36:17.308115,True
3,1,4,2019-08-13 15:36:26.794551,2019-08-13 15:36:47.546704,True
4,1,4,2019-08-13 15:36:52.147692,2019-08-13 15:37:12.855304,True
5,1,4,2019-08-13 15:37:20.67287,2019-08-13 15:37:41.359097,True
6,1,5,2019-08-13 15:38:12.480765,2019-08-13 15:38:33.505423,True
7,1,5,2019-08-13 15:38:38.04663,2019-08-13 15:38:58.739977,True
8,1,5,2019-08-13 15:39:07.216268,2019-08-13 15:39:27.903403,True
9,1,5,2019-08-13 15:39:36.583015,2019-08-13 15:39:57.161918,True
10,1,5,2019-08-13 15:40:01.859069,2019-08-13 15:40:22.673408,True
11,1,4,2019-08-18 16:13:50.958108,2019-08-18 16:14:11.619657,True
12,1,4,2019-08-18 16:14:18.056781,2019-08-18 16:14:38.743312,True
13,1,4,2019-08-18 16:14:49.061077,2019-08-18 16:15:09.836772,True
14,1,4,2019-08-18 16:15:19.782055,2019-08-18 16:15:40.537346,True
15,1,5,2019-08-18 16:16:16.035535,2019-08-18 16:16:36.817723,True
16,1,5,2019-08-18 16:16:45.814252,2019-08-18 16:17:06.409022,True
17,1,5,2019-08-18 16:17:26.767671,2019-08-18 16:17:47.577316,True
18,1,5,2019-08-18 16:17:54.403753,2019-08-18 16:18:15.303678,True
19,1,5,2019-08-18 16:18:22.225339,2019-08-18 16:18:42.665927,True
20,1,4,2019-08-28 14:27:48.956556,2019-08-28 14:28:09.984361,True
21,1,4,2019-08-28 14:28:15.699286,2019-08-28 14:28:36.49083,True
22,1,4,2019-08-28 14:28:44.870126,2019-08-28 14:29:05.469347,True
23,1,4,2019-08-28 14:29:11.798834,2019-08-28 14:29:32.472153,True
24,1,4,2019-08-28 14:29:39.917046,2019-08-28 14:30:00.615815,True
25,1,5,2019-08-28 14:31:00.145578,2019-08-28 14:31:20.66815,True
26,1,5,2019-08-28 14:31:30.028032,2019-08-28 14:31:50.380849,True
27,1,5,2019-08-28 14:32:00.113186,2019-08-28 14:32:21.205611,True
28,1,5,2019-08-28 14:32:30.297026,2019-08-28 14:32:51.100077,True
29,1,5,2019-08-28 14:33:00.443344,2019-08-28 14:33:21.165425,True
32,1,4,2019-09-02 15:56:25.272412,2019-09-02 15:56:46.22439,True
33,1,4,2019-09-02 15:56:57.669941,2019-09-02 15:57:18.391496,True
34,1,4,2019-09-02 15:57:40.683508,2019-09-02 15:58:01.540084,True
35,1,4,2019-09-02 15:58:10.047063,2019-09-02 15:58:30.840761,True
36,1,4,2019-09-02 15:58:40.209587,2019-09-02 15:59:00.943786,True
37,1,5,2019-09-02 15:59:35.475989,2019-09-02 15:59:56.254282,True
38,1,5,2019-09-02 16:00:04.848338,2019-09-02 16:00:25.624638,True
39,1,5,2019-09-02 16:00:34.847677,2019-09-02 16:00:55.556845,True
40,1,5,2019-09-02 16:01:02.482145,2019-09-02 16:01:22.952392,True
41,1,5,2019-09-02 16:01:29.585945,2019-09-02 16:01:50.301454,True
